Bye Bye Braverman|1968|Sidney Lumet
C'est Arrivé Près De Chez Vous|1992|Rémy Belvaux, André Bonzel and Benoît Poelvoorde
Cabin Boy|1994|Adam Resnick
The Cabinet of Dr. Caligari|1920|Robert Wiene
The Cable Guy|1996|Ben Stiller
Caddyshack|1980|Harold Ramis
Café Flesh|1982|Stephen Sayadian
La Cage aux Folles|1978|Édouard Molinaro
Caged Heat|1974|Jonathan Demme
Caligula|1979|Tinto Brass
Calvaire|2005|Fabrice Du Welz
Camping Cosmos|1996|Jan Bucquoy
Captain Ron|1992|Thom Eberhardt
Candy|1968|Christian Marquand
The Candy Snatchers|1973|Guerdon Trueblood
Cannibal! The Musical|1993|Trey Parker
Cannibal Holocaust|1980|Ruggero Deodato
Can't Hardly Wait|1998|Deborah Kaplan and Harry Elfont
Can't Stop the Music|1980|Nancy Walker
Captain Kronos – Vampire Hunter|1974|Brian Clemens
Car Wash|1976|Michael Schultz
Careful|1992|Guy Maddin
Carlito's Way|1993|Brian De Palma
Carnal Knowledge|1971|Mike Nichols
Carnival of Souls|1962|Herk Harvey
Carnosaur|1993|Adam Simon
Carny|1980|Robert Kaylor
Carrie|1976|Brian De Palma
Carry On Nurse|1959|Gerald Thomas
Casablanca|1942|Michael Curtiz
Casino Royale|1967|Ken Hughes, John Huston, Joseph McGrath, Robert Parrish, Val Guest and Richard Talmadge (uncredited)
The Castle|1997|Rob Sitch
Casse-tête Chinois|2013|Cédric Klapisch
Cat People|1942|Jacques Tourneur
Catch-22|1970|Mike Nichols
Cecil B. Demented|2000|John Waters
Cemetery Man|1994|Michele Soavi
C'era Una Volta Il West|1968|Sergio Leone
C'era Una Volta In America|1984|Sergio Leone
Cha Cha|1979|Herbert Curiël
Chappaqua|1966|Conrad Rooks
Chafed Elbows|1966|Robert Downey Sr.
What?|1972|Roman Polanski
Chelsea Girls|1966|Andy Warhol and Paul Morrissey
Cherry 2000|1987|Steve De Jarnatt
Un Chien Andalou|1929|Luis Buñuel
Children Shouldn't Play with Dead Things|1972|Bob Clark
Child's Play|1988|Tom Holland
Chilly Scenes of Winter|1979|Joan Micklin Silver
A Chinese Ghost Story|1987|Ching Siu-Tung
Chłopaki nie Płaczą|2000|Olaf Lubaszenko
Choose Me|1984|Alan Rudolph
Chopping Mall|1986|Jim Wynorski
Christmas Evil|1980|Lewis Jackson
Christmas on Mars|2008|Wayne Coyne
Christiane F. - Wir Kinder vom Bahnhof Zoo|1981|Uli Edel
A Christmas Story|1983|Bob Clark
The Chronicles of Riddick: Pitch Black|2000|David Twohy
Chuck and Buck|2000|Miguel Arteta
C.H.U.D.|1984|Douglas Cheek
Chungking Express|1994|Wong Kar-wai
Cidade de Deus|2002|Fernando Meirelles, Kátia Lund
Circuitry Man|1990|Steven Lovy
Cisco Pike|1972|Bill L. Norton
